date,code,boards,score,buy_price,next_pct,is_limit_up,ret,reason
2025-06-03,000510,1,,6.03,-0.33,False,-0.33,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-04,000533,1,,7.12,9.97,True,9.97,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-05,000504,1,,7.39,5.01,True,5.01,首板，连板起点；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-06,000504,2,,7.76,5.03,True,5.03,2板高度，首板晋级后延续；近期首次活跃，缺乏涨停惯性；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-09,000504,3,,8.15,5.03,True,5.03,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅nan%，短期滞涨；主板10cm涨停
2025-06-10,603959,3,34.35,5.1,5.1,True,5.1,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅18%，趋势向上；主板10cm涨停
2025-06-11,002181,3,32.694,8.07,10.04,True,10.04,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅35%，主升节奏；主板10cm涨停
2025-06-12,603139,3,32.774,27.45,-4.55,False,-4.55,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅39%，主升节奏；主板10cm涨停
2025-06-13,002878,3,34.857,24.93,9.99,True,9.99,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅43%，主升节奏；主板10cm涨停
2025-06-16,002951,2,26.264,15.36,0.39,False,0.39,2板高度，首板晋级后延续；近10日涨停6次，资金反复攻击的强势股；5日涨幅13%，温和上行；主板10cm涨停
2025-06-17,002207,3,32.725,8.31,9.99,True,9.99,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅36%，主升节奏；主板10cm涨停
2025-06-18,002199,3,38.313,9.24,-4.98,False,-4.98,3板高度，连板中位；近10日涨停8次，资金反复攻击的强势股；5日涨幅16%，趋势向上；主板10cm涨停
2025-06-19,600110,3,32.586,4.68,10.04,True,10.04,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅29%，趋势向上；主板10cm涨停
2025-06-20,601606,3,32.742,18.36,10.02,True,10.02,3板高度，连板中位；近10日涨停2次，有一定活跃度；5日涨幅37%，主升节奏；主板10cm涨停
2025-06-23,603928,3,33.42,15.11,9.99,True,9.99,3板高度，连板中位；近10日涨停3次，近期活跃；5日涨幅21%，趋势向上；主板10cm涨停
2025-06-24,603389,3,35.266,15.41,5.0,True,5.0,3板高度，连板中位；近10日涨停5次，资金反复攻击的强势股；5日涨幅13%，温和上行；主板10cm涨停
2025-06-25,003029,3,34.537,31.66,10.01,True,10.01,3板高度，连板中位；近10日涨停4次，近期活跃；5日涨幅27%，趋势向上；主板10cm涨停
